topic,pmid,label,verdict,eligibility,weakest,design,intervention,population
CD006715,25197108,0,exclude,0.01,population,0.98,0.17,0.01
CD006715,24782910,0,exclude,0.01,population,0.86,0.02,0.01
CD006715,23246054,0,exclude,0.01,population,0.29,0.01,0.01
CD006715,23509236,0,exclude,0.02,design,0.02,0.13,0.02
CD006715,19471757,0,exclude,0.01,population,0.89,0.34,0.01
CD006715,22790008,0,exclude,0.03,population,0.99,0.09,0.03
CD006715,25527168,0,exclude,0.03,intervention,0.99,0.03,0.04
CD006715,26922632,0,exclude,0.01,design,0.01,0.07,0.01
CD006715,27307485,0,exclude,0.01,design,0.01,0.86,0.01
CD006715,24488821,0,exclude,0.03,population,0.06,0.98,0.03
CD006715,27677086,0,exclude,0.01,population,0.98,0.91,0.01
CD006715,29866672,0,exclude,0.0,design,0.0,0.0,0.85
CD006715,26902941,0,exclude,0.01,population,0.12,0.04,0.01
CD006715,27160270,0,exclude,0.01,population,0.03,0.01,0.01
CD006715,22056369,0,exclude,0.01,population,0.99,0.1,0.01
CD006715,27909035,0,exclude,0.05,population,0.97,0.98,0.05
CD006715,26516562,0,exclude,0.01,population,0.02,0.03,0.01
CD006715,28226340,0,exclude,0.03,design,0.03,0.8,0.33
CD006715,27067345,0,exclude,0.01,design,0.01,0.04,0.06
CD006715,25167976,0,exclude,0.02,population,0.08,0.04,0.02
CD006715,23611915,0,exclude,0.02,population,0.58,0.24,0.02
CD006715,22274169,1,exclude,0.2,intervention,0.98,0.2,0.98
CD006715,23832920,0,exclude,0.12,population,0.37,0.16,0.12
CD006715,27550555,0,exclude,0.01,population,0.02,0.44,0.01
CD006715,21145244,0,exclude,0.03,population,0.98,0.04,0.03
CD006715,23734284,0,exclude,0.02,intervention,0.25,0.02,0.84
CD006715,28122571,0,exclude,0.01,design,0.01,0.99,0.02
CD006715,25500688,0,exclude,0.04,design,0.04,0.85,0.79
CD006715,23851286,0,exclude,0.01,design,0.01,0.01,0.12
CD006715,23430415,1,exclude,0.07,design,0.07,0.09,0.28
